distance,pair,value
1,7_8,610.5
2,6_8,614.25
3,4_7,591
4,4_8,617.4
5,2_7,584
6,2_8,471.8
7,2_9,491
8,1_9,514
1,6_7,529.667
2,6_8,614.25
3,4_7,591
4,2_6,458.4
5,1_6,529.4
6,2_8,471.8
7,1_8,467.2
8,1_9,514
1,6_7,529.667
2,3_5,561
3,3_6,504.5
4,1_5,495.2
5,4_9,512.4
6,3_9,469.4
7,2_9,491
8,1_9,514
1,5_6,525
2,2_4,505.8
3,3_6,504.5
4,1_5,495.2
5,2_7,584
6,2_8,471.8
7,2_9,491
8,1_9,514
1,8_9,555.667
2,3_5,561
3,1_4,469
4,3_7,525.4
5,1_6,529.4
6,2_8,471.8
7,1_8,467.2
8,1_9,514
1,8_9,555.667
2,4_6,520
3,2_5,523.6
4,3_7,525.4
5,1_6,529.4
6,1_7,454
7,1_8,467.2
8,1_9,514
1,7_8,610.5
2,2_4,505.8
3,4_7,591
4,4_8,617.4
5,3_8,515.6
6,3_9,469.4
7,2_9,491
8,1_9,514
1,4_5,583
2,4_6,520
3,1_4,469
4,1_5,495.2
5,1_6,529.4
6,3_9,469.4
7,1_8,467.2
8,1_9,514
1,6_7,529.667
2,3_5,561
3,4_7,591
4,5_9,511.6
5,1_6,529.4
6,1_7,454
7,1_8,467.2
8,1_9,514
1,8_9,555.667
2,3_5,561
3,6_9,626.2
4,3_7,525.4
5,2_7,584
6,1_7,454
7,1_8,467.2
8,1_9,514
1,6_7,529.667
2,6_8,614.25
3,6_9,626.2
4,3_7,525.4
5,4_9,512.4
6,1_7,454
7,2_9,491
8,1_9,514
1,2_3,553
2,5_7,517
3,4_7,591
4,5_9,511.6
5,2_7,584
6,1_7,454
7,1_8,467.2
8,1_9,514
1,4_5,583
2,3_5,561
3,6_9,626.2
4,5_9,511.6
5,2_7,584
6,1_7,454
7,1_8,467.2
8,1_9,514
1,5_6,525
2,3_5,561
3,3_6,504.5
4,1_5,495.2
5,3_8,515.6
6,3_9,469.4
7,2_9,491
8,1_9,514
1,3_4,578
2,2_4,505.8
3,5_8,522.8
4,3_7,525.4
5,3_8,515.6
6,3_9,469.4
7,1_8,467.2
8,1_9,514
1,3_4,578
2,7_9,613.75
3,2_5,523.6
4,2_6,458.4
5,2_7,584
6,2_8,471.8
7,2_9,491
8,1_9,514
1,1_2,611.2
2,4_6,520
3,3_6,504.5
4,4_8,617.4
5,3_8,515.6
6,3_9,469.4
7,1_8,467.2
8,1_9,514
1,2_3,553
2,4_6,520
3,6_9,626.2
4,3_7,525.4
5,2_7,584
6,1_7,454
7,2_9,491
8,1_9,514
1,2_3,553
2,3_5,561
3,5_8,522.8
4,3_7,525.4
5,4_9,512.4
6,1_7,454
7,1_8,467.2
8,1_9,514
1,5_6,525
2,2_4,505.8
3,5_8,522.8
4,2_6,458.4
5,3_8,515.6
6,1_7,454
7,1_8,467.2
8,1_9,514
1,3_4,578
2,6_8,614.25
3,6_9,626.2
4,1_5,495.2
5,3_8,515.6
6,3_9,469.4
7,2_9,491
8,1_9,514
1,3_4,578
2,6_8,614.25
3,4_7,591
4,5_9,511.6
5,3_8,515.6
6,2_8,471.8
7,2_9,491
8,1_9,514
1,1_2,611.2
2,6_8,614.25
3,3_6,504.5
4,3_7,525.4
5,2_7,584
6,2_8,471.8
7,2_9,491
8,1_9,514
1,5_6,525
2,5_7,517
3,6_9,626.2
4,1_5,495.2
5,3_8,515.6
6,3_9,469.4
7,2_9,491
8,1_9,514
1,4_5,583
2,2_4,505.8
3,6_9,626.2
4,2_6,458.4
5,2_7,584
6,2_8,471.8
7,2_9,491
8,1_9,514
1,5_6,525
2,7_9,613.75
3,3_6,504.5
4,4_8,617.4
5,1_6,529.4
6,2_8,471.8
7,2_9,491
8,1_9,514
1,6_7,529.667
2,2_4,505.8
3,5_8,522.8
4,3_7,525.4
5,1_6,529.4
6,3_9,469.4
7,1_8,467.2
8,1_9,514
1,4_5,583
2,1_3,504.2
3,2_5,523.6
4,5_9,511.6
5,2_7,584
6,2_8,471.8
7,1_8,467.2
8,1_9,514
1,6_7,529.667
2,4_6,520
3,6_9,626.2
4,3_7,525.4
5,3_8,515.6
6,1_7,454
7,2_9,491
8,1_9,514
1,2_3,553
2,7_9,613.75
3,1_4,469
4,4_8,617.4
5,3_8,515.6
6,3_9,469.4
7,2_9,491
8,1_9,514
1,7_8,610.5
2,2_4,505.8
3,4_7,591
4,2_6,458.4
5,2_7,584
6,1_7,454
7,1_8,467.2
8,1_9,514
1,3_4,578
2,6_8,614.25
3,5_8,522.8
4,3_7,525.4
5,4_9,512.4
6,2_8,471.8
7,1_8,467.2
8,1_9,514
1,1_2,611.2
2,4_6,520
3,2_5,523.6
4,3_7,525.4
5,3_8,515.6
6,1_7,454
7,2_9,491
8,1_9,514
1,7_8,610.5
2,7_9,613.75
3,6_9,626.2
4,1_5,495.2
5,4_9,512.4
6,3_9,469.4
7,1_8,467.2
8,1_9,514
1,4_5,583
2,5_7,517
3,5_8,522.8
4,3_7,525.4
5,4_9,512.4
6,1_7,454
7,2_9,491
8,1_9,514
1,4_5,583
2,2_4,505.8
3,4_7,591
4,2_6,458.4
5,4_9,512.4
6,3_9,469.4
7,2_9,491
8,1_9,514
1,4_5,583
2,2_4,505.8
3,3_6,504.5
4,3_7,525.4
5,2_7,584
6,3_9,469.4
7,1_8,467.2
8,1_9,514
1,2_3,553
2,2_4,505.8
3,2_5,523.6
4,1_5,495.2
5,2_7,584
6,3_9,469.4
7,2_9,491
8,1_9,514
1,3_4,578
2,4_6,520
3,5_8,522.8
4,2_6,458.4
5,1_6,529.4
6,1_7,454
7,2_9,491
8,1_9,514
1,6_7,529.667
2,4_6,520
3,4_7,591
4,5_9,511.6
5,4_9,512.4
6,3_9,469.4
7,2_9,491
8,1_9,514
1,3_4,578
2,6_8,614.25
3,3_6,504.5
4,3_7,525.4
5,1_6,529.4
6,1_7,454
7,2_9,491
8,1_9,514
1,6_7,529.667
2,1_3,504.2
3,1_4,469
4,2_6,458.4
5,1_6,529.4
6,1_7,454
7,2_9,491
8,1_9,514
1,5_6,525
2,3_5,561
3,2_5,523.6
4,1_5,495.2
5,1_6,529.4
6,3_9,469.4
7,1_8,467.2
8,1_9,514
1,5_6,525
2,6_8,614.25
3,1_4,469
4,4_8,617.4
5,3_8,515.6
6,3_9,469.4
7,2_9,491
8,1_9,514
1,6_7,529.667
2,3_5,561
3,1_4,469
4,5_9,511.6
5,1_6,529.4
6,3_9,469.4
7,2_9,491
8,1_9,514
1,6_7,529.667
2,4_6,520
3,6_9,626.2
4,5_9,511.6
5,2_7,584
6,3_9,469.4
7,1_8,467.2
8,1_9,514
1,2_3,553
2,3_5,561
3,5_8,522.8
4,1_5,495.2
5,4_9,512.4
6,1_7,454
7,2_9,491
8,1_9,514
1,1_2,611.2
2,4_6,520
3,5_8,522.8
4,5_9,511.6
5,2_7,584
6,2_8,471.8
7,1_8,467.2
8,1_9,514
1,7_8,610.5
2,3_5,561
3,3_6,504.5
4,4_8,617.4
5,2_7,584
6,1_7,454
7,2_9,491
8,1_9,514
1,1_2,611.2
2,2_4,505.8
3,5_8,522.8
4,2_6,458.4
5,1_6,529.4
6,3_9,469.4
7,2_9,491
8,1_9,514
1,8_9,555.667
2,5_7,517
3,4_7,591
4,5_9,511.6
5,2_7,584
6,1_7,454
7,1_8,467.2
8,1_9,514
1,4_5,583
2,4_6,520
3,1_4,469
4,1_5,495.2
5,3_8,515.6
6,2_8,471.8
7,2_9,491
8,1_9,514
1,4_5,583
2,5_7,517
3,5_8,522.8
4,5_9,511.6
5,1_6,529.4
6,1_7,454
7,2_9,491
8,1_9,514
1,3_4,578
2,3_5,561
3,5_8,522.8
4,3_7,525.4
5,4_9,512.4
6,3_9,469.4
7,2_9,491
8,1_9,514
1,5_6,525
2,4_6,520
3,6_9,626.2
4,3_7,525.4
5,1_6,529.4
6,3_9,469.4
7,1_8,467.2
8,1_9,514
1,6_7,529.667
2,4_6,520
3,1_4,469
4,2_6,458.4
5,4_9,512.4
6,1_7,454
7,1_8,467.2
8,1_9,514
1,8_9,555.667
2,5_7,517
3,2_5,523.6
4,5_9,511.6
5,4_9,512.4
6,1_7,454
7,2_9,491
8,1_9,514
1,4_5,583
2,6_8,614.25
3,5_8,522.8
4,1_5,495.2
5,3_8,515.6
6,2_8,471.8
7,1_8,467.2
8,1_9,514
1,1_2,611.2
2,6_8,614.25
3,1_4,469
4,3_7,525.4
5,2_7,584
6,3_9,469.4
7,1_8,467.2
8,1_9,514
1,5_6,525
2,7_9,613.75
3,5_8,522.8
4,4_8,617.4
5,3_8,515.6
6,2_8,471.8
7,2_9,491
8,1_9,514
1,2_3,553
2,1_3,504.2
3,3_6,504.5
4,4_8,617.4
5,2_7,584
6,2_8,471.8
7,2_9,491
8,1_9,514
1,1_2,611.2
2,5_7,517
3,4_7,591
4,2_6,458.4
5,3_8,515.6
6,1_7,454
7,2_9,491
8,1_9,514
1,5_6,525
2,4_6,520
3,5_8,522.8
4,3_7,525.4
5,3_8,515.6
6,3_9,469.4
7,1_8,467.2
8,1_9,514
1,2_3,553
2,1_3,504.2
3,4_7,591
4,4_8,617.4
5,3_8,515.6
6,1_7,454
7,2_9,491
8,1_9,514
1,2_3,553
2,6_8,614.25
3,2_5,523.6
4,2_6,458.4
5,3_8,515.6
6,3_9,469.4
7,1_8,467.2
8,1_9,514
1,4_5,583
2,6_8,614.25
3,2_5,523.6
4,5_9,511.6
5,3_8,515.6
6,2_8,471.8
7,1_8,467.2
8,1_9,514
1,5_6,525
2,5_7,517
3,3_6,504.5
4,3_7,525.4
5,2_7,584
6,1_7,454
7,1_8,467.2
8,1_9,514
1,7_8,610.5
2,4_6,520
3,4_7,591
4,4_8,617.4
5,1_6,529.4
6,1_7,454
7,1_8,467.2
8,1_9,514
1,3_4,578
2,5_7,517
3,3_6,504.5
4,2_6,458.4
5,1_6,529.4
6,2_8,471.8
7,2_9,491
8,1_9,514
1,6_7,529.667
2,2_4,505.8
3,4_7,591
4,3_7,525.4
5,1_6,529.4
6,2_8,471.8
7,2_9,491
8,1_9,514
1,6_7,529.667
2,7_9,613.75
3,4_7,591
4,2_6,458.4
5,2_7,584
6,3_9,469.4
7,1_8,467.2
8,1_9,514
1,3_4,578
2,4_6,520
3,5_8,522.8
4,3_7,525.4
5,4_9,512.4
6,1_7,454
7,2_9,491
8,1_9,514
1,4_5,583
2,2_4,505.8
3,3_6,504.5
4,3_7,525.4
5,1_6,529.4
6,1_7,454
7,2_9,491
8,1_9,514
1,5_6,525
2,3_5,561
3,3_6,504.5
4,2_6,458.4
5,2_7,584
6,2_8,471.8
7,2_9,491
8,1_9,514
1,5_6,525
2,5_7,517
3,6_9,626.2
4,3_7,525.4
5,2_7,584
6,3_9,469.4
7,2_9,491
8,1_9,514
1,1_2,611.2
2,1_3,504.2
3,5_8,522.8
4,5_9,511.6
5,1_6,529.4
6,1_7,454
7,1_8,467.2
8,1_9,514
1,5_6,525
2,1_3,504.2
3,6_9,626.2
4,1_5,495.2
5,3_8,515.6
6,2_8,471.8
7,1_8,467.2
8,1_9,514
1,7_8,610.5
2,2_4,505.8
3,6_9,626.2
4,2_6,458.4
5,4_9,512.4
6,1_7,454
7,1_8,467.2
8,1_9,514
1,4_5,583
2,7_9,613.75
3,6_9,626.2
4,1_5,495.2
5,2_7,584
6,2_8,471.8
7,2_9,491
8,1_9,514
1,7_8,610.5
2,2_4,505.8
3,5_8,522.8
4,3_7,525.4
5,3_8,515.6
6,2_8,471.8
7,2_9,491
8,1_9,514
1,4_5,583
2,5_7,517
3,3_6,504.5
4,1_5,495.2
5,2_7,584
6,2_8,471.8
7,1_8,467.2
8,1_9,514
1,6_7,529.667
2,5_7,517
3,1_4,469
4,2_6,458.4
5,3_8,515.6
6,3_9,469.4
7,1_8,467.2
8,1_9,514
1,1_2,611.2
2,5_7,517
3,1_4,469
4,2_6,458.4
5,2_7,584
6,1_7,454
7,2_9,491
8,1_9,514
1,7_8,610.5
2,7_9,613.75
3,3_6,504.5
4,3_7,525.4
5,1_6,529.4
6,3_9,469.4
7,1_8,467.2
8,1_9,514
1,3_4,578
2,2_4,505.8
3,5_8,522.8
4,2_6,458.4
5,1_6,529.4
6,1_7,454
7,2_9,491
8,1_9,514
1,8_9,555.667
2,4_6,520
3,5_8,522.8
4,3_7,525.4
5,2_7,584
6,3_9,469.4
7,2_9,491
8,1_9,514
1,5_6,525
2,4_6,520
3,4_7,591
4,2_6,458.4
5,3_8,515.6
6,2_8,471.8
7,1_8,467.2
8,1_9,514
1,4_5,583
2,3_5,561
3,5_8,522.8
4,5_9,511.6
5,2_7,584
6,3_9,469.4
7,2_9,491
8,1_9,514
1,4_5,583
2,6_8,614.25
3,3_6,504.5
4,2_6,458.4
5,3_8,515.6
6,3_9,469.4
7,2_9,491
8,1_9,514
1,6_7,529.667
2,3_5,561
3,6_9,626.2
4,5_9,511.6
5,4_9,512.4
6,3_9,469.4
7,2_9,491
8,1_9,514
1,3_4,578
2,4_6,520
3,4_7,591
4,1_5,495.2
5,2_7,584
6,3_9,469.4
7,1_8,467.2
8,1_9,514
1,8_9,555.667
2,6_8,614.25
3,5_8,522.8
4,2_6,458.4
5,3_8,515.6
6,3_9,469.4
7,2_9,491
8,1_9,514
1,1_2,611.2
2,2_4,505.8
3,3_6,504.5
4,5_9,511.6
5,4_9,512.4
6,1_7,454
7,2_9,491
8,1_9,514
1,4_5,583
2,5_7,517
3,4_7,591
4,4_8,617.4
5,3_8,515.6
6,3_9,469.4
7,1_8,467.2
8,1_9,514
1,1_2,611.2
2,2_4,505.8
3,5_8,522.8
4,3_7,525.4
5,1_6,529.4
6,2_8,471.8
7,2_9,491
8,1_9,514
1,7_8,610.5
2,7_9,613.75
3,5_8,522.8
4,2_6,458.4
5,1_6,529.4
6,1_7,454
7,1_8,467.2
8,1_9,514
1,6_7,529.667
2,3_5,561
3,4_7,591
4,3_7,525.4
5,2_7,584
6,1_7,454
7,1_8,467.2
8,1_9,514
1,6_7,529.667
2,5_7,517
3,1_4,469
4,2_6,458.4
5,4_9,512.4
6,2_8,471.8
7,2_9,491
8,1_9,514
1,6_7,529.667
2,1_3,504.2
3,5_8,522.8
4,5_9,511.6
5,3_8,515.6
6,1_7,454
7,1_8,467.2
8,1_9,514
1,3_4,578
2,1_3,504.2
3,3_6,504.5
4,3_7,525.4
5,3_8,515.6
6,2_8,471.8
7,1_8,467.2
8,1_9,514
1,6_7,529.667
2,1_3,504.2
3,1_4,469
4,5_9,511.6
5,2_7,584
6,3_9,469.4
7,1_8,467.2
8,1_9,514
1,4_5,583
2,5_7,517
3,2_5,523.6
4,1_5,495.2
5,2_7,584
6,2_8,471.8
7,1_8,467.2
8,1_9,514
1,4_5,583
2,7_9,613.75
3,2_5,523.6
4,2_6,458.4
5,2_7,584
6,2_8,471.8
7,1_8,467.2
8,1_9,514
1,6_7,529.667
2,3_5,561
3,5_8,522.8
4,2_6,458.4
5,4_9,512.4
6,2_8,471.8
7,1_8,467.2
8,1_9,514
1,8_9,555.667
2,1_3,504.2
3,6_9,626.2
4,4_8,617.4
5,4_9,512.4
6,2_8,471.8
7,1_8,467.2
8,1_9,514
1,4_5,583
2,2_4,505.8
3,1_4,469
4,4_8,617.4
5,1_6,529.4
6,1_7,454
7,1_8,467.2
8,1_9,514
1,7_8,610.5
2,1_3,504.2
3,6_9,626.2
4,1_5,495.2
5,4_9,512.4
6,2_8,471.8
7,2_9,491
8,1_9,514
1,5_6,525
2,2_4,505.8
3,3_6,504.5
4,3_7,525.4
5,1_6,529.4
6,2_8,471.8
7,2_9,491
8,1_9,514
1,2_3,553
2,7_9,613.75
3,4_7,591
4,4_8,617.4
5,3_8,515.6
6,2_8,471.8
7,2_9,491
8,1_9,514
1,5_6,525
2,1_3,504.2
3,6_9,626.2
4,3_7,525.4
5,2_7,584
6,1_7,454
7,2_9,491
8,1_9,514
1,4_5,583
2,5_7,517
3,1_4,469
4,2_6,458.4
5,3_8,515.6
6,3_9,469.4
7,2_9,491
8,1_9,514
1,6_7,529.667
2,6_8,614.25
3,2_5,523.6
4,2_6,458.4
5,4_9,512.4
6,2_8,471.8
7,2_9,491
8,1_9,514
1,5_6,525
2,7_9,613.75
3,4_7,591
4,2_6,458.4
5,4_9,512.4
6,2_8,471.8
7,2_9,491
8,1_9,514
1,8_9,555.667
2,2_4,505.8
3,6_9,626.2
4,4_8,617.4
5,3_8,515.6
6,3_9,469.4
7,1_8,467.2
8,1_9,514
1,5_6,525
2,4_6,520
3,2_5,523.6
4,1_5,495.2
5,4_9,512.4
6,2_8,471.8
7,2_9,491
8,1_9,514
1,3_4,578
2,1_3,504.2
3,2_5,523.6
4,5_9,511.6
5,1_6,529.4
6,1_7,454
7,2_9,491
8,1_9,514
1,3_4,578
2,2_4,505.8
3,3_6,504.5
4,5_9,511.6
5,4_9,512.4
6,3_9,469.4
7,1_8,467.2
8,1_9,514
1,4_5,583
2,1_3,504.2
3,2_5,523.6
4,2_6,458.4
5,4_9,512.4
6,1_7,454
7,2_9,491
8,1_9,514
1,8_9,555.667
2,5_7,517
3,4_7,591
4,4_8,617.4
5,3_8,515.6
6,3_9,469.4
7,2_9,491
8,1_9,514
1,2_3,553
2,1_3,504.2
3,4_7,591
4,1_5,495.2
5,2_7,584
6,1_7,454
7,1_8,467.2
8,1_9,514
1,4_5,583
2,7_9,613.75
3,5_8,522.8
4,3_7,525.4
5,3_8,515.6
6,3_9,469.4
7,1_8,467.2
8,1_9,514
1,1_2,611.2
2,3_5,561
3,5_8,522.8
4,5_9,511.6
5,4_9,512.4
6,1_7,454
7,2_9,491
8,1_9,514
1,4_5,583
2,4_6,520
3,1_4,469
4,3_7,525.4
5,1_6,529.4
6,1_7,454
7,1_8,467.2
8,1_9,514
1,4_5,583
2,3_5,561
3,1_4,469
4,4_8,617.4
5,4_9,512.4
6,2_8,471.8
7,1_8,467.2
8,1_9,514
1,8_9,555.667
2,3_5,561
3,5_8,522.8
4,4_8,617.4
5,3_8,515.6
6,3_9,469.4
7,1_8,467.2
8,1_9,514
1,8_9,555.667
2,3_5,561
3,5_8,522.8
4,1_5,495.2
5,3_8,515.6
6,1_7,454
7,2_9,491
8,1_9,514
1,3_4,578
2,4_6,520
3,1_4,469
4,5_9,511.6
5,4_9,512.4
6,3_9,469.4
7,2_9,491
8,1_9,514
1,6_7,529.667
2,7_9,613.75
3,6_9,626.2
4,4_8,617.4
5,4_9,512.4
6,2_8,471.8
7,2_9,491
8,1_9,514
1,4_5,583
2,4_6,520
3,6_9,626.2
4,3_7,525.4
5,2_7,584
6,2_8,471.8
7,1_8,467.2
8,1_9,514
1,3_4,578
2,3_5,561
3,3_6,504.5
4,2_6,458.4
5,2_7,584
6,3_9,469.4
7,2_9,491
8,1_9,514
1,8_9,555.667
2,5_7,517
3,6_9,626.2
4,3_7,525.4
5,1_6,529.4
6,3_9,469.4
7,2_9,491
8,1_9,514
1,4_5,583
2,1_3,504.2
3,6_9,626.2
4,5_9,511.6
5,1_6,529.4
6,3_9,469.4
7,1_8,467.2
8,1_9,514
1,2_3,553
2,6_8,614.25
3,6_9,626.2
4,1_5,495.2
5,2_7,584
6,2_8,471.8
7,1_8,467.2
8,1_9,514
1,3_4,578
2,3_5,561
3,3_6,504.5
4,4_8,617.4
5,2_7,584
6,1_7,454
7,1_8,467.2
8,1_9,514
1,6_7,529.667
2,6_8,614.25
3,5_8,522.8
4,2_6,458.4
5,4_9,512.4
6,1_7,454
7,2_9,491
8,1_9,514
1,1_2,611.2
2,5_7,517
3,5_8,522.8
4,2_6,458.4
5,1_6,529.4
6,3_9,469.4
7,2_9,491
8,1_9,514
1,4_5,583
2,2_4,505.8
3,3_6,504.5
4,4_8,617.4
5,3_8,515.6
6,1_7,454
7,2_9,491
8,1_9,514
1,8_9,555.667
2,6_8,614.25
3,1_4,469
4,1_5,495.2
5,2_7,584
6,3_9,469.4
7,2_9,491
8,1_9,514
1,5_6,525
2,3_5,561
3,3_6,504.5
4,1_5,495.2
5,4_9,512.4
6,1_7,454
7,2_9,491
8,1_9,514
1,5_6,525
2,1_3,504.2
3,4_7,591
4,4_8,617.4
5,2_7,584
6,1_7,454
7,1_8,467.2
8,1_9,514
1,7_8,610.5
2,2_4,505.8
3,6_9,626.2
4,2_6,458.4
5,2_7,584
6,2_8,471.8
7,1_8,467.2
8,1_9,514
1,2_3,553
2,6_8,614.25
3,2_5,523.6
4,3_7,525.4
5,2_7,584
6,2_8,471.8
7,2_9,491
8,1_9,514
1,6_7,529.667
2,6_8,614.25
3,2_5,523.6
4,5_9,511.6
5,2_7,584
6,3_9,469.4
7,1_8,467.2
8,1_9,514
1,3_4,578
2,3_5,561
3,5_8,522.8
4,2_6,458.4
5,1_6,529.4
6,2_8,471.8
7,1_8,467.2
8,1_9,514
1,2_3,553
2,5_7,517
3,1_4,469
4,3_7,525.4
5,3_8,515.6
6,3_9,469.4
7,1_8,467.2
8,1_9,514
1,4_5,583
2,4_6,520
3,6_9,626.2
4,5_9,511.6
5,4_9,512.4
6,2_8,471.8
7,1_8,467.2
8,1_9,514
1,6_7,529.667
2,2_4,505.8
3,2_5,523.6
4,2_6,458.4
5,1_6,529.4
6,2_8,471.8
7,2_9,491
8,1_9,514
1,8_9,555.667
2,1_3,504.2
3,2_5,523.6
4,5_9,511.6
5,3_8,515.6
6,1_7,454
7,2_9,491
8,1_9,514
1,2_3,553
2,5_7,517
3,6_9,626.2
4,4_8,617.4
5,1_6,529.4
6,2_8,471.8
7,2_9,491
8,1_9,514
1,8_9,555.667
2,4_6,520
3,2_5,523.6
4,5_9,511.6
5,2_7,584
6,3_9,469.4
7,1_8,467.2
8,1_9,514
1,2_3,553
2,6_8,614.25
3,5_8,522.8
4,2_6,458.4
5,4_9,512.4
6,1_7,454
7,2_9,491
8,1_9,514
1,5_6,525
2,1_3,504.2
3,5_8,522.8
4,5_9,511.6
5,4_9,512.4
6,2_8,471.8
7,1_8,467.2
8,1_9,514
1,5_6,525
2,3_5,561
3,5_8,522.8
4,4_8,617.4
5,4_9,512.4
6,1_7,454
7,1_8,467.2
8,1_9,514
1,4_5,583
2,7_9,613.75
3,3_6,504.5
4,1_5,495.2
5,3_8,515.6
6,2_8,471.8
7,2_9,491
8,1_9,514
1,7_8,610.5
2,2_4,505.8
3,6_9,626.2
4,1_5,495.2
5,2_7,584
6,2_8,471.8
7,1_8,467.2
8,1_9,514
1,5_6,525
2,4_6,520
3,1_4,469
4,3_7,525.4
5,1_6,529.4
6,3_9,469.4
7,2_9,491
8,1_9,514
1,3_4,578
2,2_4,505.8
3,6_9,626.2
4,4_8,617.4
5,3_8,515.6
6,2_8,471.8
7,1_8,467.2
8,1_9,514
1,5_6,525
2,4_6,520
3,4_7,591
4,5_9,511.6
5,2_7,584
6,1_7,454
7,2_9,491
8,1_9,514
1,3_4,578
2,6_8,614.25
3,5_8,522.8
4,5_9,511.6
5,3_8,515.6
6,3_9,469.4
7,2_9,491
8,1_9,514
1,5_6,525
2,5_7,517
3,2_5,523.6
4,4_8,617.4
5,1_6,529.4
6,3_9,469.4
7,2_9,491
8,1_9,514
1,6_7,529.667
2,4_6,520
3,4_7,591
4,2_6,458.4
5,1_6,529.4
6,1_7,454
7,2_9,491
8,1_9,514
1,5_6,525
2,3_5,561
3,1_4,469
4,2_6,458.4
5,3_8,515.6
6,2_8,471.8
7,2_9,491
8,1_9,514
1,4_5,583
2,3_5,561
3,6_9,626.2
4,4_8,617.4
5,4_9,512.4
6,1_7,454
7,2_9,491
8,1_9,514
1,7_8,610.5
2,7_9,613.75
3,4_7,591
4,1_5,495.2
5,1_6,529.4
6,1_7,454
7,2_9,491
8,1_9,514
1,8_9,555.667
2,6_8,614.25
3,2_5,523.6
4,3_7,525.4
5,3_8,515.6
6,3_9,469.4
7,2_9,491
8,1_9,514
1,1_2,611.2
2,6_8,614.25
3,6_9,626.2
4,5_9,511.6
5,2_7,584
6,2_8,471.8
7,2_9,491
8,1_9,514
1,7_8,610.5
2,2_4,505.8
3,4_7,591
4,2_6,458.4
5,1_6,529.4
6,2_8,471.8
7,2_9,491
8,1_9,514
1,7_8,610.5
2,3_5,561
3,2_5,523.6
4,5_9,511.6
5,4_9,512.4
6,2_8,471.8
7,1_8,467.2
8,1_9,514
1,5_6,525
2,5_7,517
3,6_9,626.2
4,4_8,617.4
5,2_7,584
6,2_8,471.8
7,1_8,467.2
8,1_9,514
1,6_7,529.667
2,4_6,520
3,6_9,626.2
4,2_6,458.4
5,1_6,529.4
6,1_7,454
7,1_8,467.2
8,1_9,514
1,1_2,611.2
2,5_7,517
3,6_9,626.2
4,5_9,511.6
5,2_7,584
6,1_7,454
7,2_9,491
8,1_9,514
1,5_6,525
2,4_6,520
3,1_4,469
4,4_8,617.4
5,2_7,584
6,1_7,454
7,2_9,491
8,1_9,514
1,6_7,529.667
2,6_8,614.25
3,2_5,523.6
4,3_7,525.4
5,1_6,529.4
6,2_8,471.8
7,2_9,491
8,1_9,514
1,8_9,555.667
2,3_5,561
3,3_6,504.5
4,2_6,458.4
5,4_9,512.4
6,2_8,471.8
7,2_9,491
8,1_9,514
1,6_7,529.667
2,3_5,561
3,5_8,522.8
4,5_9,511.6
5,3_8,515.6
6,1_7,454
7,2_9,491
8,1_9,514
1,2_3,553
2,4_6,520
3,2_5,523.6
4,5_9,511.6
5,3_8,515.6
6,3_9,469.4
7,2_9,491
8,1_9,514
1,6_7,529.667
2,2_4,505.8
3,6_9,626.2
4,5_9,511.6
5,2_7,584
6,2_8,471.8
7,2_9,491
8,1_9,514
1,5_6,525
2,6_8,614.25
3,3_6,504.5
4,2_6,458.4
5,3_8,515.6
6,1_7,454
7,2_9,491
8,1_9,514
1,1_2,611.2
2,7_9,613.75
3,3_6,504.5
4,3_7,525.4
5,3_8,515.6
6,3_9,469.4
7,2_9,491
8,1_9,514
1,4_5,583
2,4_6,520
3,6_9,626.2
4,4_8,617.4
5,4_9,512.4
6,3_9,469.4
7,1_8,467.2
8,1_9,514
1,1_2,611.2
2,5_7,517
3,6_9,626.2
4,3_7,525.4
5,3_8,515.6
6,3_9,469.4
7,2_9,491
8,1_9,514
1,3_4,578
2,7_9,613.75
3,3_6,504.5
4,4_8,617.4
5,2_7,584
6,2_8,471.8
7,2_9,491
8,1_9,514
1,1_2,611.2
2,3_5,561
3,4_7,591
4,2_6,458.4
5,1_6,529.4
6,1_7,454
7,2_9,491
8,1_9,514
1,3_4,578
2,1_3,504.2
3,6_9,626.2
4,1_5,495.2
5,4_9,512.4
6,3_9,469.4
7,1_8,467.2
8,1_9,514
1,6_7,529.667
2,2_4,505.8
3,4_7,591
4,3_7,525.4
5,1_6,529.4
6,1_7,454
7,1_8,467.2
8,1_9,514
1,7_8,610.5
2,4_6,520
3,3_6,504.5
4,3_7,525.4
5,4_9,512.4
6,1_7,454
7,1_8,467.2
8,1_9,514
1,1_2,611.2
2,4_6,520
3,3_6,504.5
4,3_7,525.4
5,4_9,512.4
6,1_7,454
7,1_8,467.2
8,1_9,514
1,3_4,578
2,5_7,517
3,4_7,591
4,1_5,495.2
5,3_8,515.6
6,3_9,469.4
7,2_9,491
8,1_9,514
1,8_9,555.667
2,4_6,520
3,6_9,626.2
4,3_7,525.4
5,2_7,584
6,2_8,471.8
7,2_9,491
8,1_9,514
1,8_9,555.667
2,7_9,613.75
3,5_8,522.8
4,3_7,525.4
5,3_8,515.6
6,2_8,471.8
7,1_8,467.2
8,1_9,514
1,5_6,525
2,3_5,561
3,1_4,469
4,4_8,617.4
5,3_8,515.6
6,1_7,454
7,1_8,467.2
8,1_9,514
1,5_6,525
2,2_4,505.8
3,5_8,522.8
4,1_5,495.2
5,1_6,529.4
6,3_9,469.4
