distance,pair,value
3,1_4,456.4
4,1_5,417.8
5,4_9,477.8
6,2_8,441.4
7,2_9,403
8,1_9,441.6
1,5_6,585.5
2,1_3,430.2
3,4_7,461.4
4,2_6,430.6
5,2_7,471.8
6,3_9,451
7,1_8,421.6
8,1_9,441.6
1,1_2,464.6
2,2_4,514.2
3,3_6,458.6
4,3_7,463
5,2_7,471.8
6,2_8,441.4
7,1_8,421.6
8,1_9,441.6
1,7_8,468.333
2,5_7,555.667
3,3_6,458.6
4,4_8,505.5
5,1_6,449.8
6,2_8,441.4
7,1_8,421.6
8,1_9,441.6
1,8_9,594.4
2,2_4,514.2
3,5_8,552.75
4,4_8,505.5
5,2_7,471.8
6,1_7,387.2
7,2_9,403
8,1_9,441.6
1,1_2,464.6
2,4_6,462.75
3,3_6,458.6
4,2_6,430.6
5,3_8,446.5
6,3_9,451
7,2_9,403
8,1_9,441.6
1,4_5,524.8
2,5_7,555.667
3,1_4,456.4
4,4_8,505.5
5,1_6,449.8
6,1_7,387.2
7,1_8,421.6
8,1_9,441.6
1,2_3,491.2
2,5_7,555.667
3,5_8,552.75
4,1_5,417.8
5,4_9,477.8
6,1_7,387.2
7,1_8,421.6
8,1_9,441.6
1,7_8,468.333
2,6_8,548
3,6_9,560.4
4,5_9,482.2
5,1_6,449.8
6,2_8,441.4
7,1_8,421.6
8,1_9,441.6
1,6_7,529
2,6_8,548
3,1_4,456.4
4,4_8,505.5
5,1_6,449.8
6,2_8,441.4
7,1_8,421.6
8,1_9,441.6
1,8_9,594.4
2,1_3,430.2
3,1_4,456.4
4,1_5,417.8
5,3_8,446.5
6,1_7,387.2
7,2_9,403
8,1_9,441.6
1,5_6,585.5
2,5_7,555.667
3,1_4,456.4
4,2_6,430.6
5,2_7,471.8
6,1_7,387.2
7,2_9,403
8,1_9,441.6
1,5_6,585.5
2,3_5,478
3,2_5,523.4
4,4_8,505.5
5,1_6,449.8
6,1_7,387.2
7,1_8,421.6
8,1_9,441.6
1,1_2,464.6
2,2_4,514.2
3,5_8,552.75
4,2_6,430.6
5,2_7,471.8
6,1_7,387.2
7,2_9,403
8,1_9,441.6
1,5_6,585.5
2,5_7,555.667
3,2_5,523.4
4,5_9,482.2
5,3_8,446.5
6,3_9,451
7,1_8,421.6
8,1_9,441.6
1,8_9,594.4
2,4_6,462.75
3,2_5,523.4
4,4_8,505.5
5,4_9,477.8
6,2_8,441.4
7,2_9,403
8,1_9,441.6
1,2_3,491.2
2,7_9,558
3,5_8,552.75
4,4_8,505.5
5,4_9,477.8
6,2_8,441.4
7,2_9,403
8,1_9,441.6
1,4_5,524.8
2,5_7,555.667
3,6_9,560.4
4,5_9,482.2
5,4_9,477.8
6,1_7,387.2
7,1_8,421.6
8,1_9,441.6
1,1_2,464.6
2,4_6,462.75
3,1_4,456.4
4,2_6,430.6
5,4_9,477.8
6,1_7,387.2
7,1_8,421.6
8,1_9,441.6
1,1_2,464.6
2,7_9,558
3,3_6,458.6
4,2_6,430.6
5,4_9,477.8
6,3_9,451
7,1_8,421.6
8,1_9,441.6
1,3_4,488.5
2,5_7,555.667
3,6_9,560.4
4,3_7,463
5,1_6,449.8
6,1_7,387.2
7,2_9,403
8,1_9,441.6
1,5_6,585.5
2,3_5,478
3,2_5,523.4
4,5_9,482.2
5,3_8,446.5
6,3_9,451
7,2_9,403
8,1_9,441.6
1,8_9,594.4
2,4_6,462.75
3,5_8,552.75
4,2_6,430.6
5,4_9,477.8
6,3_9,451
7,2_9,403
8,1_9,441.6
1,8_9,594.4
2,7_9,558
3,6_9,560.4
4,4_8,505.5
5,1_6,449.8
6,1_7,387.2
7,2_9,403
8,1_9,441.6
1,4_5,524.8
2,4_6,462.75
3,2_5,523.4
4,1_5,417.8
5,1_6,449.8
6,2_8,441.4
7,1_8,421.6
8,1_9,441.6
1,7_8,468.333
2,4_6,462.75
3,2_5,523.4
4,3_7,463
5,1_6,449.8
6,2_8,441.4
7,1_8,421.6
8,1_9,441.6
1,4_5,524.8
2,4_6,462.75
3,1_4,456.4
4,1_5,417.8
5,1_6,449.8
6,3_9,451
7,2_9,403
8,1_9,441.6
1,4_5,524.8
2,6_8,548
3,3_6,458.6
4,1_5,417.8
5,2_7,471.8
6,2_8,441.4
7,1_8,421.6
8,1_9,441.6
1,3_4,488.5
2,1_3,430.2
3,4_7,461.4
4,4_8,505.5
5,3_8,446.5
6,1_7,387.2
7,1_8,421.6
8,1_9,441.6
1,8_9,594.4
2,7_9,558
3,2_5,523.4
4,5_9,482.2
5,3_8,446.5
6,3_9,451
7,2_9,403
8,1_9,441.6
1,3_4,488.5
2,1_3,430.2
3,3_6,458.6
4,5_9,482.2
5,3_8,446.5
6,1_7,387.2
7,1_8,421.6
8,1_9,441.6
1,2_3,491.2
2,6_8,548
3,3_6,458.6
4,3_7,463
5,2_7,471.8
6,3_9,451
7,1_8,421.6
8,1_9,441.6
1,2_3,491.2
2,7_9,558
3,5_8,552.75
4,4_8,505.5
5,4_9,477.8
6,3_9,451
7,1_8,421.6
8,1_9,441.6
1,1_2,464.6
2,2_4,514.2
3,5_8,552.75
4,5_9,482.2
5,2_7,471.8
6,2_8,441.4
7,1_8,421.6
8,1_9,441.6
1,6_7,529
2,5_7,555.667
3,6_9,560.4
4,3_7,463
5,2_7,471.8
6,2_8,441.4
7,1_8,421.6
8,1_9,441.6
1,5_6,585.5
2,2_4,514.2
3,4_7,461.4
4,5_9,482.2
5,1_6,449.8
6,2_8,441.4
7,1_8,421.6
8,1_9,441.6
1,5_6,585.5
2,5_7,555.667
3,4_7,461.4
4,3_7,463
5,2_7,471.8
6,1_7,387.2
7,2_9,403
8,1_9,441.6
1,2_3,491.2
2,5_7,555.667
3,5_8,552.75
4,1_5,417.8
5,2_7,471.8
6,1_7,387.2
7,2_9,403
8,1_9,441.6
1,8_9,594.4
2,6_8,548
3,2_5,523.4
4,1_5,417.8
5,3_8,446.5
6,3_9,451
7,2_9,403
8,1_9,441.6
1,8_9,594.4
2,2_4,514.2
3,2_5,523.4
4,4_8,505.5
5,1_6,449.8
6,2_8,441.4
7,2_9,403
8,1_9,441.6
1,1_2,464.6
2,4_6,462.75
3,2_5,523.4
4,5_9,482.2
5,1_6,449.8
6,2_8,441.4
7,2_9,403
8,1_9,441.6
1,4_5,524.8
2,5_7,555.667
3,6_9,560.4
4,4_8,505.5
5,2_7,471.8
6,1_7,387.2
7,1_8,421.6
8,1_9,441.6
1,3_4,488.5
2,6_8,548
3,6_9,560.4
4,1_5,417.8
5,1_6,449.8
6,1_7,387.2
7,1_8,421.6
8,1_9,441.6
1,4_5,524.8
2,5_7,555.667
3,2_5,523.4
4,2_6,430.6
5,4_9,477.8
6,2_8,441.4
7,2_9,403
8,1_9,441.6
1,2_3,491.2
2,6_8,548
3,4_7,461.4
4,1_5,417.8
5,4_9,477.8
6,2_8,441.4
7,1_8,421.6
8,1_9,441.6
1,8_9,594.4
2,4_6,462.75
3,4_7,461.4
4,5_9,482.2
5,1_6,449.8
6,2_8,441.4
7,2_9,403
8,1_9,441.6
1,6_7,529
2,5_7,555.667
3,2_5,523.4
4,3_7,463
5,2_7,471.8
6,3_9,451
7,1_8,421.6
8,1_9,441.6
1,4_5,524.8
2,5_7,555.667
3,1_4,456.4
4,2_6,430.6
5,1_6,449.8
6,3_9,451
7,2_9,403
8,1_9,441.6
1,7_8,468.333
2,7_9,558
3,4_7,461.4
4,5_9,482.2
5,3_8,446.5
6,1_7,387.2
7,1_8,421.6
8,1_9,441.6
1,3_4,488.5
2,2_4,514.2
3,3_6,458.6
4,4_8,505.5
5,1_6,449.8
6,1_7,387.2
7,2_9,403
8,1_9,441.6
1,1_2,464.6
2,1_3,430.2
3,1_4,456.4
4,3_7,463
5,3_8,446.5
6,1_7,387.2
7,2_9,403
8,1_9,441.6
1,1_2,464.6
2,7_9,558
3,2_5,523.4
4,4_8,505.5
5,2_7,471.8
6,3_9,451
7,2_9,403
8,1_9,441.6
1,6_7,529
2,2_4,514.2
3,2_5,523.4
4,1_5,417.8
5,3_8,446.5
6,1_7,387.2
7,2_9,403
8,1_9,441.6
1,5_6,585.5
2,4_6,462.75
3,4_7,461.4
4,5_9,482.2
5,3_8,446.5
6,2_8,441.4
7,1_8,421.6
8,1_9,441.6
1,8_9,594.4
2,3_5,478
3,3_6,458.6
4,3_7,463
5,2_7,471.8
6,1_7,387.2
7,2_9,403
8,1_9,441.6
1,3_4,488.5
2,6_8,548
3,2_5,523.4
4,2_6,430.6
5,2_7,471.8
6,3_9,451
7,2_9,403
8,1_9,441.6
1,5_6,585.5
2,4_6,462.75
3,1_4,456.4
4,2_6,430.6
5,1_6,449.8
6,3_9,451
7,2_9,403
8,1_9,441.6
1,4_5,524.8
2,2_4,514.2
3,1_4,456.4
4,5_9,482.2
5,3_8,446.5
6,2_8,441.4
7,2_9,403
8,1_9,441.6
1,6_7,529
2,4_6,462.75
3,6_9,560.4
4,5_9,482.2
5,3_8,446.5
6,1_7,387.2
7,2_9,403
8,1_9,441.6
1,7_8,468.333
2,5_7,555.667
3,3_6,458.6
4,5_9,482.2
5,1_6,449.8
6,1_7,387.2
7,1_8,421.6
8,1_9,441.6
1,6_7,529
2,6_8,548
3,2_5,523.4
4,5_9,482.2
5,4_9,477.8
6,2_8,441.4
7,1_8,421.6
8,1_9,441.6
1,8_9,594.4
2,4_6,462.75
3,6_9,560.4
4,1_5,417.8
5,4_9,477.8
6,1_7,387.2
7,1_8,421.6
8,1_9,441.6
1,7_8,468.333
2,2_4,514.2
3,6_9,560.4
4,2_6,430.6
5,4_9,477.8
6,1_7,387.2
7,1_8,421.6
8,1_9,441.6
1,3_4,488.5
2,4_6,462.75
3,4_7,461.4
4,1_5,417.8
5,3_8,446.5
6,3_9,451
7,2_9,403
8,1_9,441.6
1,6_7,529
2,6_8,548
3,3_6,458.6
4,4_8,505.5
5,3_8,446.5
6,1_7,387.2
7,1_8,421.6
8,1_9,441.6
1,6_7,529
2,1_3,430.2
3,5_8,552.75
4,4_8,505.5
5,2_7,471.8
6,2_8,441.4
7,2_9,403
8,1_9,441.6
1,5_6,585.5
2,3_5,478
3,2_5,523.4
4,3_7,463
5,3_8,446.5
6,1_7,387.2
7,1_8,421.6
8,1_9,441.6
1,2_3,491.2
2,1_3,430.2
3,1_4,456.4
4,4_8,505.5
5,1_6,449.8
6,2_8,441.4
7,1_8,421.6
8,1_9,441.6
1,8_9,594.4
2,2_4,514.2
3,5_8,552.75
4,4_8,505.5
5,2_7,471.8
6,2_8,441.4
7,1_8,421.6
8,1_9,441.6
1,7_8,468.333
2,6_8,548
3,4_7,461.4
4,1_5,417.8
5,4_9,477.8
6,2_8,441.4
7,2_9,403
8,1_9,441.6
1,1_2,464.6
2,7_9,558
3,5_8,552.75
4,5_9,482.2
5,2_7,471.8
6,2_8,441.4
7,2_9,403
8,1_9,441.6
1,2_3,491.2
2,4_6,462.75
3,4_7,461.4
4,2_6,430.6
5,3_8,446.5
6,2_8,441.4
7,2_9,403
8,1_9,441.6
1,1_2,464.6
2,7_9,558
3,5_8,552.75
4,4_8,505.5
5,2_7,471.8
6,3_9,451
7,2_9,403
8,1_9,441.6
1,1_2,464.6
2,3_5,478
3,4_7,461.4
4,4_8,505.5
5,3_8,446.5
6,1_7,387.2
7,1_8,421.6
8,1_9,441.6
1,6_7,529
2,4_6,462.75
3,4_7,461.4
4,1_5,417.8
5,1_6,449.8
6,3_9,451
7,1_8,421.6
8,1_9,441.6
1,4_5,524.8
2,4_6,462.75
3,1_4,456.4
4,1_5,417.8
5,4_9,477.8
6,3_9,451
7,1_8,421.6
8,1_9,441.6
1,2_3,491.2
2,4_6,462.75
3,2_5,523.4
4,5_9,482.2
5,1_6,449.8
6,3_9,451
7,1_8,421.6
8,1_9,441.6
1,2_3,491.2
2,1_3,430.2
3,5_8,552.75
4,4_8,505.5
5,3_8,446.5
6,1_7,387.2
7,1_8,421.6
8,1_9,441.6
1,7_8,468.333
2,3_5,478
3,1_4,456.4
4,5_9,482.2
5,4_9,477.8
6,2_8,441.4
7,1_8,421.6
8,1_9,441.6
1,1_2,464.6
2,3_5,478
3,2_5,523.4
4,2_6,430.6
5,2_7,471.8
6,2_8,441.4
7,2_9,403
8,1_9,441.6
1,1_2,464.6
2,6_8,548
3,2_5,523.4
4,5_9,482.2
5,1_6,449.8
6,2_8,441.4
7,2_9,403
8,1_9,441.6
1,4_5,524.8
2,2_4,514.2
3,1_4,456.4
4,1_5,417.8
5,3_8,446.5
6,3_9,451
7,1_8,421.6
8,1_9,441.6
1,7_8,468.333
2,6_8,548
3,6_9,560.4
4,5_9,482.2
5,1_6,449.8
6,3_9,451
7,2_9,403
8,1_9,441.6
1,7_8,468.333
2,7_9,558
3,6_9,560.4
4,2_6,430.6
5,3_8,446.5
6,2_8,441.4
7,2_9,403
8,1_9,441.6
1,7_8,468.333
2,1_3,430.2
3,3_6,458.6
4,3_7,463
5,3_8,446.5
6,2_8,441.4
7,1_8,421.6
8,1_9,441.6
1,3_4,488.5
2,3_5,478
3,6_9,560.4
4,4_8,505.5
5,4_9,477.8
6,3_9,451
7,2_9,403
8,1_9,441.6
1,3_4,488.5
2,4_6,462.75
3,5_8,552.75
4,2_6,430.6
5,4_9,477.8
6,2_8,441.4
7,1_8,421.6
8,1_9,441.6
1,2_3,491.2
2,3_5,478
3,1_4,456.4
4,4_8,505.5
5,1_6,449.8
6,3_9,451
7,1_8,421.6
8,1_9,441.6
1,1_2,464.6
2,3_5,478
3,3_6,458.6
4,3_7,463
5,3_8,446.5
6,1_7,387.2
7,2_9,403
8,1_9,441.6
1,2_3,491.2
2,1_3,430.2
3,5_8,552.75
4,5_9,482.2
5,3_8,446.5
6,3_9,451
7,1_8,421.6
8,1_9,441.6
1,7_8,468.333
2,5_7,555.667
3,1_4,456.4
4,1_5,417.8
5,3_8,446.5
6,1_7,387.2
7,2_9,403
8,1_9,441.6
1,4_5,524.8
2,2_4,514.2
3,1_4,456.4
4,1_5,417.8
5,2_7,471.8
6,2_8,441.4
7,1_8,421.6
8,1_9,441.6
1,3_4,488.5
2,5_7,555.667
3,2_5,523.4
4,1_5,417.8
5,4_9,477.8
6,1_7,387.2
7,1_8,421.6
8,1_9,441.6
1,3_4,488.5
2,6_8,548
3,2_5,523.4
4,1_5,417.8
5,4_9,477.8
6,3_9,451
7,1_8,421.6
8,1_9,441.6
1,6_7,529
2,5_7,555.667
3,4_7,461.4
4,5_9,482.2
5,3_8,446.5
6,3_9,451
7,1_8,421.6
8,1_9,441.6
1,3_4,488.5
2,1_3,430.2
3,2_5,523.4
4,3_7,463
5,4_9,477.8
6,1_7,387.2
7,2_9,403
8,1_9,441.6
1,1_2,464.6
2,6_8,548
3,1_4,456.4
4,1_5,417.8
5,2_7,471.8
6,3_9,451
7,2_9,403
8,1_9,441.6
1,8_9,594.4
2,2_4,514.2
3,3_6,458.6
4,5_9,482.2
5,1_6,449.8
6,1_7,387.2
7,1_8,421.6
8,1_9,441.6
1,6_7,529
2,2_4,514.2
3,6_9,560.4
4,5_9,482.2
5,2_7,471.8
6,1_7,387.2
7,2_9,403
8,1_9,441.6
1,6_7,529
2,5_7,555.667
3,6_9,560.4
4,5_9,482.2
5,1_6,449.8
6,3_9,451
7,2_9,403
8,1_9,441.6
1,1_2,464.6
2,6_8,548
3,3_6,458.6
4,2_6,430.6
5,4_9,477.8
6,2_8,441.4
7,2_9,403
8,1_9,441.6
1,2_3,491.2
2,3_5,478
3,6_9,560.4
4,1_5,417.8
5,1_6,449.8
6,3_9,451
7,2_9,403
8,1_9,441.6
1,2_3,491.2
2,1_3,430.2
3,5_8,552.75
4,2_6,430.6
5,1_6,449.8
6,1_7,387.2
7,2_9,403
8,1_9,441.6
1,3_4,488.5
2,6_8,548
3,2_5,523.4
4,2_6,430.6
5,4_9,477.8
6,1_7,387.2
7,2_9,403
8,1_9,441.6
1,8_9,594.4
2,1_3,430.2
3,3_6,458.6
4,4_8,505.5
5,3_8,446.5
6,3_9,451
7,2_9,403
8,1_9,441.6
1,7_8,468.333
2,3_5,478
3,2_5,523.4
4,2_6,430.6
5,2_7,471.8
6,1_7,387.2
7,2_9,403
8,1_9,441.6
1,8_9,594.4
2,1_3,430.2
3,3_6,458.6
4,3_7,463
5,2_7,471.8
6,3_9,451
7,2_9,403
8,1_9,441.6
1,1_2,464.6
2,1_3,430.2
3,5_8,552.75
4,4_8,505.5
5,2_7,471.8
6,1_7,387.2
7,1_8,421.6
8,1_9,441.6
1,1_2,464.6
2,2_4,514.2
3,4_7,461.4
4,5_9,482.2
5,4_9,477.8
6,2_8,441.4
7,1_8,421.6
8,1_9,441.6
1,1_2,464.6
2,5_7,555.667
3,1_4,456.4
4,1_5,417.8
5,1_6,449.8
6,1_7,387.2
7,2_9,403
8,1_9,441.6
1,6_7,529
2,3_5,478
3,2_5,523.4
4,5_9,482.2
5,1_6,449.8
6,3_9,451
7,1_8,421.6
8,1_9,441.6
1,2_3,491.2
2,2_4,514.2
3,5_8,552.75
4,5_9,482.2
5,2_7,471.8
6,2_8,441.4
7,2_9,403
8,1_9,441.6
1,8_9,594.4
2,4_6,462.75
3,5_8,552.75
4,3_7,463
5,1_6,449.8
6,1_7,387.2
7,2_9,403
8,1_9,441.6
1,3_4,488.5
2,2_4,514.2
3,6_9,560.4
4,2_6,430.6
5,3_8,446.5
6,1_7,387.2
7,1_8,421.6
8,1_9,441.6
1,7_8,468.333
2,2_4,514.2
3,6_9,560.4
4,4_8,505.5
5,4_9,477.8
6,2_8,441.4
7,2_9,403
8,1_9,441.6
1,4_5,524.8
2,7_9,558
3,5_8,552.75
4,4_8,505.5
5,3_8,446.5
6,1_7,387.2
7,1_8,421.6
8,1_9,441.6
1,3_4,488.5
2,3_5,478
3,3_6,458.6
4,1_5,417.8
5,2_7,471.8
6,3_9,451
7,2_9,403
8,1_9,441.6
1,5_6,585.5
2,6_8,548
3,2_5,523.4
4,4_8,505.5
5,4_9,477.8
6,2_8,441.4
7,2_9,403
8,1_9,441.6
1,7_8,468.333
2,1_3,430.2
3,6_9,560.4
4,5_9,482.2
5,2_7,471.8
6,1_7,387.2
7,2_9,403
8,1_9,441.6
1,2_3,491.2
2,6_8,548
3,6_9,560.4
4,4_8,505.5
5,2_7,471.8
6,1_7,387.2
7,2_9,403
8,1_9,441.6
1,8_9,594.4
2,4_6,462.75
3,4_7,461.4
4,2_6,430.6
5,2_7,471.8
6,1_7,387.2
7,1_8,421.6
8,1_9,441.6
1,7_8,468.333
2,5_7,555.667
3,5_8,552.75
4,2_6,430.6
5,2_7,471.8
6,3_9,451
7,2_9,403
8,1_9,441.6
1,2_3,491.2
2,4_6,462.75
3,4_7,461.4
4,1_5,417.8
5,2_7,471.8
6,2_8,441.4
7,1_8,421.6
8,1_9,441.6
1,6_7,529
2,4_6,462.75
3,1_4,456.4
4,4_8,505.5
5,2_7,471.8
6,2_8,441.4
7,2_9,403
8,1_9,441.6
1,8_9,594.4
2,4_6,462.75
3,4_7,461.4
4,4_8,505.5
5,4_9,477.8
6,2_8,441.4
7,2_9,403
8,1_9,441.6
1,8_9,594.4
2,1_3,430.2
3,4_7,461.4
4,2_6,430.6
5,4_9,477.8
6,1_7,387.2
7,1_8,421.6
8,1_9,441.6
1,5_6,585.5
2,3_5,478
3,5_8,552.75
4,5_9,482.2
5,1_6,449.8
6,2_8,441.4
7,1_8,421.6
8,1_9,441.6
1,5_6,585.5
2,4_6,462.75
3,1_4,456.4
4,2_6,430.6
5,4_9,477.8
6,2_8,441.4
7,2_9,403
8,1_9,441.6
1,4_5,524.8
2,4_6,462.75
3,1_4,456.4
4,3_7,463
5,3_8,446.5
6,1_7,387.2
7,2_9,403
8,1_9,441.6
1,7_8,468.333
2,5_7,555.667
3,4_7,461.4
4,1_5,417.8
5,4_9,477.8
6,1_7,387.2
7,1_8,421.6
8,1_9,441.6
1,4_5,524.8
2,3_5,478
3,4_7,461.4
4,4_8,505.5
5,4_9,477.8
6,3_9,451
7,2_9,403
8,1_9,441.6
1,4_5,524.8
2,4_6,462.75
3,4_7,461.4
4,5_9,482.2
5,2_7,471.8
6,1_7,387.2
7,1_8,421.6
8,1_9,441.6
1,8_9,594.4
2,5_7,555.667
3,4_7,461.4
4,2_6,430.6
5,1_6,449.8
6,1_7,387.2
7,1_8,421.6
8,1_9,441.6
1,2_3,491.2
2,5_7,555.667
3,2_5,523.4
4,5_9,482.2
5,3_8,446.5
6,2_8,441.4
7,2_9,403
8,1_9,441.6
1,2_3,491.2
2,6_8,548
3,6_9,560.4
4,3_7,463
5,4_9,477.8
6,1_7,387.2
7,2_9,403
8,1_9,441.6
1,4_5,524.8
2,4_6,462.75
3,4_7,461.4
4,4_8,505.5
5,1_6,449.8
6,2_8,441.4
7,2_9,403
8,1_9,441.6
1,6_7,529
2,1_3,430.2
3,2_5,523.4
4,4_8,505.5
5,3_8,446.5
6,1_7,387.2
7,1_8,421.6
8,1_9,441.6
1,2_3,491.2
2,3_5,478
3,3_6,458.6
4,1_5,417.8
5,2_7,471.8
6,3_9,451
7,2_9,403
8,1_9,441.6
1,6_7,529
2,1_3,430.2
3,1_4,456.4
4,2_6,430.6
5,4_9,477.8
6,2_8,441.4
7,2_9,403
8,1_9,441.6
1,5_6,585.5
2,2_4,514.2
3,4_7,461.4
4,3_7,463
5,2_7,471.8
6,1_7,387.2
7,1_8,421.6
8,1_9,441.6
1,6_7,529
2,1_3,430.2
3,3_6,458.6
4,5_9,482.2
5,1_6,449.8
6,3_9,451
7,1_8,421.6
8,1_9,441.6
1,5_6,585.5
2,3_5,478
3,2_5,523.4
4,3_7,463
5,4_9,477.8
6,3_9,451
7,2_9,403
8,1_9,441.6
1,6_7,529
2,2_4,514.2
3,5_8,552.75
4,4_8,505.5
5,2_7,471.8
6,1_7,387.2
7,1_8,421.6
8,1_9,441.6
1,4_5,524.8
2,7_9,558
3,6_9,560.4
4,4_8,505.5
5,1_6,449.8
6,2_8,441.4
7,1_8,421.6
8,1_9,441.6
1,3_4,488.5
2,4_6,462.75
3,3_6,458.6
4,1_5,417.8
5,4_9,477.8
6,1_7,387.2
7,1_8,421.6
8,1_9,441.6
1,8_9,594.4
2,4_6,462.75
3,6_9,560.4
4,4_8,505.5
5,3_8,446.5
6,3_9,451
7,1_8,421.6
8,1_9,441.6
1,2_3,491.2
2,5_7,555.667
3,6_9,560.4
4,4_8,505.5
5,2_7,471.8
6,2_8,441.4
7,2_9,403
8,1_9,441.6
1,4_5,524.8
2,4_6,462.75
3,1_4,456.4
4,3_7,463
5,1_6,449.8
6,1_7,387.2
7,1_8,421.6
8,1_9,441.6
1,6_7,529
2,4_6,462.75
3,4_7,461.4
4,1_5,417.8
5,4_9,477.8
6,3_9,451
7,2_9,403
8,1_9,441.6
1,8_9,594.4
2,1_3,430.2
3,3_6,458.6
4,2_6,430.6
5,2_7,471.8
6,1_7,387.2
7,1_8,421.6
8,1_9,441.6
1,2_3,491.2
2,2_4,514.2
3,5_8,552.75
4,4_8,505.5
5,3_8,446.5
6,3_9,451
7,2_9,403
8,1_9,441.6
1,1_2,464.6
2,7_9,558
3,5_8,552.75
4,1_5,417.8
5,2_7,471.8
6,2_8,441.4
7,2_9,403
8,1_9,441.6
1,5_6,585.5
2,3_5,478
3,1_4,456.4
4,3_7,463
5,1_6,449.8
6,2_8,441.4
7,1_8,421.6
8,1_9,441.6
1,5_6,585.5
2,3_5,478
3,6_9,560.4
4,5_9,482.2
5,3_8,446.5
6,2_8,441.4
7,2_9,403
8,1_9,441.6
1,2_3,491.2
2,1_3,430.2
3,6_9,560.4
4,3_7,463
5,1_6,449.8
6,1_7,387.2
7,2_9,403
8,1_9,441.6
1,4_5,524.8
2,4_6,462.75
3,3_6,458.6
4,2_6,430.6
5,2_7,471.8
6,2_8,441.4
7,2_9,403
8,1_9,441.6
1,4_5,524.8
2,6_8,548
3,6_9,560.4
4,5_9,482.2
5,1_6,449.8
6,1_7,387.2
7,1_8,421.6
8,1_9,441.6
1,1_2,464.6
2,4_6,462.75
3,1_4,456.4
4,3_7,463
5,1_6,449.8
6,2_8,441.4
7,2_9,403
8,1_9,441.6
1,7_8,468.333
2,1_3,430.2
3,6_9,560.4
4,1_5,417.8
5,1_6,449.8
6,1_7,387.2
7,2_9,403
8,1_9,441.6
1,6_7,529
2,4_6,462.75
3,2_5,523.4
4,4_8,505.5
5,4_9,477.8
6,2_8,441.4
7,2_9,403
8,1_9,441.6
1,6_7,529
2,5_7,555.667
3,3_6,458.6
4,4_8,505.5
5,4_9,477.8
6,3_9,451
7,1_8,421.6
8,1_9,441.6
1,2_3,491.2
2,7_9,558
3,5_8,552.75
4,3_7,463
5,3_8,446.5
6,3_9,451
7,2_9,403
8,1_9,441.6
1,7_8,468.333
2,7_9,558
3,2_5,523.4
4,5_9,482.2
5,4_9,477.8
6,2_8,441.4
7,2_9,403
8,1_9,441.6
1,3_4,488.5
2,6_8,548
3,6_9,560.4
4,2_6,430.6
5,4_9,477.8
6,3_9,451
7,2_9,403
8,1_9,441.6
1,8_9,594.4
2,6_8,548
3,3_6,458.6
4,1_5,417.8
5,3_8,446.5
6,1_7,387.2
7,2_9,403
8,1_9,441.6
1,6_7,529
2,6_8,548
3,2_5,523.4
4,5_9,482.2
5,1_6,449.8
6,1_7,387.2
7,2_9,403
8,1_9,441.6
1,3_4,488.5
2,2_4,514.2
3,5_8,552.75
4,5_9,482.2
5,3_8,446.5
6,1_7,387.2
7,1_8,421.6
8,1_9,441.6
1,8_9,594.4
2,2_4,514.2
3,5_8,552.75
4,2_6,430.6
5,1_6,449.8
6,3_9,451
7,2_9,403
8,1_9,441.6
1,3_4,488.5
2,5_7,555.667
3,2_5,523.4
4,2_6,430.6
5,1_6,449.8
6,2_8,441.4
7,2_9,403
8,1_9,441.6
1,8_9,594.4
2,7_9,558
3,1_4,456.4
4,4_8,505.5
5,2_7,471.8
6,3_9,451
7,1_8,421.6
8,1_9,441.6
1,4_5,524.8
2,6_8,548
3,1_4,456.4
4,3_7,463
5,1_6,449.8
6,3_9,451
7,1_8,421.6
8,1_9,441.6
1,7_8,468.333
2,1_3,430.2
3,3_6,458.6
4,2_6,430.6
5,3_8,446.5
6,1_7,387.2
7,1_8,421.6
8,1_9,441.6
1,1_2,464.6
2,4_6,462.75
3,4_7,461.4
4,2_6,430.6
5,3_8,446.5
6,1_7,387.2
7,1_8,421.6
8,1_9,441.6
1,7_8,468.333
2,3_5,478
3,3_6,458.6
4,4_8,505.5
5,1_6,449.8
6,2_8,441.4
7,1_8,421.6
8,1_9,441.6
1,3_4,488.5
2,1_3,430.2
3,2_5,523.4
4,3_7,463
5,3_8,446.5
6,2_8,441.4
7,2_9,403
8,1_9,441.6
1,1_2,464.6
2,2_4,514.2
3,1_4,456.4
4,1_5,417.8
5,1_6,449.8
6,2_8,441.4
7,1_8,421.6
8,1_9,441.6
1,6_7,529
2,5_7,555.667
3,4_7,461.4
4,5_9,482.2
5,1_6,449.8
6,2_8,441.4
7,1_8,421.6
8,1_9,441.6
1,7_8,468.333
2,2_4,514.2
3,2_5,523.4
4,5_9,482.2
5,4_9,477.8
6,1_7,387.2
7,1_8,421.6
8,1_9,441.6
1,4_5,524.8
2,7_9,558
3,6_9,560.4
4,1_5,417.8
5,1_6,449.8
6,3_9,451
7,1_8,421.6
8,1_9,441.6
1,4_5,524.8
2,6_8,548
3,3_6,458.6
4,4_8,505.5
5,2_7,471.8
6,2_8,441.4
7,2_9,403
8,1_9,441.6
1,5_6,585.5
2,7_9,558
3,2_5,523.4
4,1_5,417.8
5,2_7,471.8
6,1_7,387.2
7,1_8,421.6
8,1_9,441.6
1,2_3,491.2
2,3_5,478
3,5_8,552.75
4,5_9,482.2
5,1_6,449.8
